cmip6-id, cmip6-label, cmip6-type
cmip6.seaice.grid.discretisation, Seaice > Grid > Discretisation, detail-set
cmip6.seaice.grid.seaice_categories, Seaice > Grid > Seaice Categories, detail-set
cmip6.seaice.grid.snow_on_seaice, Seaice > Grid > Snow On Seaice, detail-set
, , 
cmip6.seaice.key_properties.general, Seaice > Key Properties > General, detail-set
cmip6.seaice.key_properties.seawater_properties, Seaice > Key Properties > Seawater Properties, detail-set
cmip6.seaice.key_properties.resolution, Seaice > Key Properties > Resolution, detail-set
cmip6.seaice.key_properties.tuning_applied, Seaice > Key Properties > Tuning Applied, detail-set
cmip6.seaice.key_properties.assumptions, Seaice > Key Properties > Assumptions, detail-set
cmip6.seaice.key_properties.conservation, Seaice > Key Properties > Conservation, detail-set
, , 
cmip6.seaice.dynamics.general, Seaice > Dynamics > General, detail-set
, , 
cmip6.seaice.thermodynamics.general, Seaice > Thermodynamics > General, detail-set
cmip6.seaice.thermodynamics.ice_processes.brine, Seaice > Thermodynamics > Ice Processes > Brine, detail-set
cmip6.seaice.thermodynamics.ice_processes.vertical_heat_diffusion, Seaice > Thermodynamics > Ice Processes > Vertical Heat Diffusion, detail-set
cmip6.seaice.thermodynamics.ice_processes.melt_ponds, Seaice > Thermodynamics > Ice Processes > Melt Ponds, detail-set
, , 
