cmip6-id, cmip6-label, cmip6-type
cmip6.seaice.grid.horizontal.grid, Seaice > Grid > Horizontal > Grid, detail
cmip6.seaice.grid.horizontal.grid_type, Seaice > Grid > Horizontal > Grid Type, detail
cmip6.seaice.grid.horizontal.scheme, Seaice > Grid > Horizontal > Scheme, detail
cmip6.seaice.grid.horizontal.thermodynamics_time_step, Seaice > Grid > Horizontal > Thermodynamics Time Step, detail
cmip6.seaice.grid.horizontal.dynamics_time_step, Seaice > Grid > Horizontal > Dynamics Time Step, detail
cmip6.seaice.grid.horizontal.additional_details, Seaice > Grid > Horizontal > Additional Details, detail
cmip6.seaice.grid.vertical.layering, Seaice > Grid > Vertical > Layering, detail
cmip6.seaice.grid.vertical.multi-layers, Seaice > Grid > Vertical > Multi-layers, detail
cmip6.seaice.grid.vertical.additional_details, Seaice > Grid > Vertical > Additional Details, detail
cmip6.seaice.grid.seaice_categories.number_of_categories, Seaice > Grid > Seaice Categories > Number Of Categories, detail
cmip6.seaice.grid.seaice_categories.category_limits, Seaice > Grid > Seaice Categories > Category Limits, detail
cmip6.seaice.grid.seaice_categories.thickness_distribution_scheme, Seaice > Grid > Seaice Categories > Thickness Distribution Scheme, detail
cmip6.seaice.grid.seaice_categories.has_ice_types, Seaice > Grid > Seaice Categories > Has Ice Types, detail
cmip6.seaice.grid.seaice_categories.ice_types_details, Seaice > Grid > Seaice Categories > Ice Types Details, detail
cmip6.seaice.grid.snow_on_seaice.has_snow_on_ice, Seaice > Grid > Snow On Seaice > Has Snow On Ice, detail
cmip6.seaice.grid.snow_on_seaice.number_of_snow_levels, Seaice > Grid > Snow On Seaice > Number Of Snow Levels, detail
cmip6.seaice.grid.snow_on_seaice.snow_fraction, Seaice > Grid > Snow On Seaice > Snow Fraction, detail
cmip6.seaice.grid.snow_on_seaice.additional_details, Seaice > Grid > Snow On Seaice > Additional Details, detail
, , 
cmip6.seaice.key_properties.general.prognostic_variables, Seaice > Key Properties > General > Prognostic Variables, detail
cmip6.seaice.key_properties.seawater_properties.ocean_freezing_point, Seaice > Key Properties > Seawater Properties > Ocean Freezing Point, detail
